genre,language,cluster_vae,cluster_pca
Rock,English,17,2
International,English,13,4
Electronic,English,3,9
Rock,English,13,17
Rock,English,13,4
Rock,English,4,1
Electronic,English,18,0
Pop,English,6,2
Electronic,English,12,14
Electronic,English,1,4
Experimental,English,12,15
Rock,English,9,17
Rock,English,13,17
Rock,English,15,10
Experimental,English,12,15
Experimental,English,12,15
Rock,English,9,17
Experimental,English,12,15
Electronic,English,4,16
Instrumental,English,10,7
Folk,English,16,3
Instrumental,English,12,15
Rock,English,13,17
Rock,English,9,17
Experimental,English,11,5
Experimental,English,11,5
Hip-Hop,English,1,9
Pop,English,18,0
Rock,English,13,17
Hip-Hop,English,4,9
Rock,English,7,17
Rock,English,10,11
Experimental,English,0,5
Hip-Hop,English,1,9
Electronic,English,18,15
Rock,English,9,17
Folk,English,15,11
Rock,English,11,11
Experimental,English,14,10
Experimental,English,10,11
Rock,English,9,17
Electronic,English,7,5
Experimental,English,0,9
Rock,English,13,17
Electronic,English,10,2
Rock,English,9,17
Experimental,English,10,5
Experimental,English,11,11
Rock,English,9,17
Folk,English,10,11
Rock,English,3,16
Electronic,English,12,16
Experimental,English,17,2
Rock,English,13,17
Rock,English,9,17
Rock,English,9,17
Folk,English,2,12
Rock,English,7,17
International,English,17,2
Rock,English,14,10
Old-Time / Historic,English,5,13
Rock,English,0,1
Rock,English,14,10
Classical,English,10,8
Experimental,English,14,10
International,English,14,4
Experimental,English,12,11
Electronic,English,3,16
Instrumental,English,8,12
Experimental,English,17,2
Electronic,English,16,3
Experimental,English,9,11
Hip-Hop,English,3,16
Electronic,English,8,14
Rock,English,13,17
Instrumental,English,15,5
Electronic,English,6,14
Old-Time / Historic,English,11,13
Spoken,English,17,2
Experimental,English,0,18
Experimental,English,14,10
Soul-RnB,English,1,11
Rock,English,11,11
Experimental,English,12,15
Hip-Hop,English,12,9
Electronic,English,3,16
Experimental,English,12,15
Folk,English,1,11
Hip-Hop,English,13,4
Hip-Hop,English,1,4
Rock,English,3,16
Old-Time / Historic,English,5,13
Folk,English,10,8
Electronic,English,3,16
Instrumental,English,7,8
Electronic,English,10,11
Electronic,English,11,0
Experimental,English,4,11
Electronic,English,8,14
Rock,English,3,16
Hip-Hop,English,9,17
Experimental,English,16,3
Rock,English,14,10
Electronic,English,4,9
Folk,English,17,8
Experimental,English,2,5
Electronic,English,14,9
Electronic,English,5,15
Experimental,English,7,18
Experimental,English,8,4
Electronic,English,1,9
Electronic,English,3,5
Rock,English,17,11
Rock,English,8,9
Hip-Hop,English,8,12
Electronic,English,4,14
Electronic,English,2,2
Electronic,English,8,12
Electronic,English,6,14
Spoken,English,17,2
Rock,English,1,9
Rock,English,13,11
Rock,English,9,4
Instrumental,English,9,3
Electronic,English,1,15
Rock,English,3,16
Classical,English,4,2
Rock,English,1,18
Classical,English,2,5
Rock,English,2,17
Rock,English,8,9
Experimental,English,13,4
Experimental,English,9,5
Electronic,English,6,14
Rock,English,13,4
Rock,English,9,17
Experimental,English,1,2
International,English,7,8
Experimental,English,12,2
Experimental,English,8,2
Electronic,English,4,14
Electronic,English,6,6
Experimental,English,1,9
Pop,English,11,7
Hip-Hop,English,8,14
Folk,English,17,8
Rock,English,11,7
Experimental,English,8,9
Experimental,English,11,11
Electronic,English,12,9
Experimental,English,6,14
Experimental,English,12,11
International,English,13,4
Rock,English,13,4
Hip-Hop,English,1,9
Pop,English,11,11
Folk,English,11,7
Rock,English,13,4
Experimental,English,1,0
Electronic,English,6,14
Electronic,English,7,18
Rock,English,8,4
Rock,English,15,5
Pop,English,15,3
Folk,English,17,2
Experimental,English,10,8
Experimental,English,0,1
Folk,English,11,7
Rock,English,9,11
Folk,English,17,7
Old-Time / Historic,English,5,13
Experimental,English,12,4
Rock,English,12,4
Hip-Hop,English,6,2
Electronic,English,3,15
Electronic,English,16,3
Electronic,English,10,8
Electronic,English,4,9
Rock,English,13,17
Folk,English,7,5
Electronic,English,1,15
Experimental,English,18,8
Rock,English,9,17
Experimental,English,12,16
Experimental,English,7,18
Experimental,English,0,1
Electronic,English,17,2
Instrumental,English,3,17
Rock,English,9,17
Electronic,English,1,9
Rock,English,13,4
Rock,English,1,4
Rock,English,9,17
Electronic,English,18,6
Experimental,English,16,3
Pop,English,18,0
Rock,English,13,4
Experimental,English,10,0
Rock,English,10,8
Rock,English,3,16
Hip-Hop,English,16,10
Rock,English,9,17
Instrumental,English,16,3
Rock,English,13,4
Experimental,English,6,14
Rock,English,3,15
Folk,English,4,9
Folk,English,13,4
Experimental,English,18,0
Electronic,English,4,9
Rock,English,13,17
Experimental,English,10,8
Experimental,English,13,17
Classical,English,5,13
Electronic,English,17,9
Rock,English,13,4
Pop,English,11,11
Experimental,English,13,5
Electronic,English,1,9
Rock,English,13,17
Rock,English,14,10
Electronic,English,8,12
Instrumental,English,14,5
Rock,English,9,4
Folk,English,11,5
Rock,English,1,9
Instrumental,English,13,9
Classical,English,18,0
Rock,English,1,4
Folk,English,14,5
Pop,English,11,0
Rock,English,11,7
Electronic,English,13,4
Rock,English,13,17
Rock,English,13,16
Classical,English,10,8
Rock,English,14,10
Rock,English,9,4
Rock,English,2,12
Hip-Hop,English,8,9
Electronic,English,4,15
Rock,English,9,4
Rock,English,11,11
Experimental,English,5,13
Folk,English,11,7
Pop,English,17,11
Rock,English,3,16
Rock,English,15,17
Experimental,English,11,5
Electronic,English,4,1
International,English,4,14
Experimental,English,0,1
Pop,English,8,9
Electronic,English,16,3
Rock,English,3,16
Experimental,English,17,2
Rock,English,15,11
Instrumental,English,2,8
Electronic,English,8,10
Experimental,English,0,11
International,English,5,13
Rock,English,17,11
Experimental,English,14,10
Experimental,English,17,11
Experimental,English,6,2
Rock,English,9,11
Instrumental,English,7,7
Experimental,English,11,7
Classical,English,10,8
Electronic,English,15,1
Rock,English,2,12
Classical,English,10,8
Electronic,English,0,1
Experimental,English,10,7
Pop,English,11,5
Rock,English,14,10
Electronic,English,3,16
Experimental,English,16,1
Pop,English,6,2
Experimental,English,10,3
Old-Time / Historic,English,5,13
Experimental,English,12,15
Old-Time / Historic,English,11,7
Experimental,English,3,17
Experimental,English,2,3
Electronic,English,16,3
Folk,English,7,5
Rock,English,8,3
Experimental,English,15,11
Rock,English,11,5
Experimental,English,17,11
Experimental,English,11,7
Experimental,English,14,10
Rock,English,9,17
Pop,English,9,11
Rock,English,15,11
Hip-Hop,English,1,9
Old-Time / Historic,English,5,13
Electronic,English,4,9
Rock,English,0,17
Rock,English,13,17
Experimental,English,0,18
Experimental,English,17,11
Rock,English,9,17
Experimental,English,3,15
Instrumental,English,18,15
Rock,English,15,10
Experimental,English,12,15
Experimental,English,17,5
Electronic,English,6,9
Old-Time / Historic,English,5,13
Electronic,English,4,9
Experimental,English,3,16
Experimental,English,10,8
Instrumental,English,2,3
Pop,English,15,5
Jazz,English,7,11
Experimental,English,2,5
Electronic,English,15,10
Electronic,English,1,15
Experimental,English,10,2
Experimental,English,3,15
International,English,15,1
Rock,English,13,4
Instrumental,English,16,2
Experimental,English,10,8
Electronic,English,7,18
Folk,English,11,5
Hip-Hop,English,4,1
Pop,English,14,2
Easy Listening,English,6,9
Rock,English,9,17
Rock,English,9,10
Rock,English,15,10
Rock,English,3,4
Experimental,English,10,0
Experimental,English,17,2
Rock,English,3,16
Electronic,English,6,14
Electronic,English,0,1
Rock,English,11,7
Rock,English,9,17
Rock,English,9,5
Rock,English,13,4
Rock,English,13,4
Pop,English,13,4
Hip-Hop,English,1,12
Rock,English,9,10
Old-Time / Historic,English,2,5
International,English,7,5
Rock,English,13,4
Hip-Hop,English,4,1
Spoken,English,1,2
Experimental,English,15,3
Old-Time / Historic,English,5,13
Experimental,English,11,5
Pop,English,6,2
Electronic,English,4,9
Experimental,English,6,14
International,English,14,10
Electronic,English,16,3
Folk,English,2,7
Rock,English,10,3
Experimental,English,9,4
Electronic,English,11,11
Folk,English,16,1
Classical,English,10,0
Experimental,English,13,4
Rock,English,17,4
Instrumental,English,2,7
Electronic,English,1,9
Experimental,English,10,0
Electronic,English,3,16
Electronic,English,6,14
Jazz,English,10,8
Rock,English,17,11
International,English,13,15
Experimental,English,10,8
Electronic,English,3,15
Rock,English,9,17
Rock,English,13,4
International,English,13,17
Experimental,English,9,5
Pop,English,15,11
Experimental,English,17,7
Instrumental,English,0,3
Hip-Hop,English,6,9
Electronic,English,9,17
Instrumental,English,18,0
Experimental,English,4,4
Experimental,English,4,9
Electronic,English,4,9
Experimental,English,4,1
Rock,English,9,3
Instrumental,English,15,17
Folk,English,2,7
Experimental,English,16,1
Folk,English,11,7
Rock,English,2,11
Rock,English,11,7
Experimental,English,9,4
Experimental,English,5,7
Folk,English,2,12
Experimental,English,16,3
Experimental,English,8,12
Blues,English,11,11
Rock,English,9,17
Old-Time / Historic,English,5,13
Instrumental,English,17,8
Hip-Hop,English,9,18
Hip-Hop,English,12,15
Folk,English,2,7
Hip-Hop,English,1,9
Experimental,English,17,10
Experimental,English,10,11
Experimental,English,4,9
Rock,English,13,4
Rock,English,3,4
Instrumental,English,15,1
Folk,English,2,8
Instrumental,English,17,2
Electronic,English,12,11
Electronic,English,4,1
Experimental,English,3,4
Folk,English,2,8
Experimental,English,5,0
Experimental,English,10,0
Pop,English,13,4
Electronic,English,7,18
Rock,English,3,16
Experimental,English,2,7
Electronic,English,1,2
Experimental,English,6,2
Experimental,English,16,1
Rock,English,1,18
Experimental,English,17,2
Experimental,English,4,1
Rock,English,13,4
Pop,English,11,11
Hip-Hop,English,14,10
Experimental,English,6,6
Experimental,English,4,1
Electronic,English,8,14
Rock,English,2,11
Rock,English,11,11
Folk,English,17,11
Folk,English,11,11
Experimental,English,9,17
Rock,English,9,17
Rock,English,3,15
Hip-Hop,English,8,15
Electronic,English,13,4
International,English,10,11
Experimental,English,10,2
Electronic,English,13,4
Rock,English,4,4
Experimental,English,17,2
Rock,English,14,10
Spoken,English,17,11
Pop,English,7,18
Folk,English,18,0
Electronic,English,1,11
Rock,English,7,18
Experimental,English,16,1
Rock,English,2,11
Electronic,English,8,12
Folk,English,10,8
Electronic,English,6,15
International,English,14,8
International,English,1,2
Experimental,English,14,2
Instrumental,English,7,17
Rock,English,9,17
Rock,English,1,18
Electronic,English,3,16
Electronic,English,17,9
Electronic,English,14,10
International,English,11,5
Rock,English,1,9
Experimental,English,9,11
Rock,English,4,9
Instrumental,English,0,8
Rock,English,9,17
Instrumental,English,11,11
Hip-Hop,English,1,9
Experimental,English,3,15
Experimental,English,12,15
Experimental,English,3,17
Experimental,English,0,5
Instrumental,English,10,8
Electronic,English,3,16
Jazz,English,9,11
Rock,English,14,17
Electronic,English,8,12
Electronic,English,17,7
Electronic,English,4,9
Rock,English,0,2
International,English,11,2
Instrumental,English,10,0
Rock,English,9,5
Electronic,English,16,16
Folk,English,6,2
Classical,English,5,8
Rock,English,0,3
Instrumental,English,10,8
Experimental,English,6,14
Electronic,English,5,5
Electronic,English,10,1
Experimental,English,1,2
Rock,English,14,10
Experimental,English,9,10
Rock,English,9,17
International,English,11,13
Rock,English,9,17
Rock,English,9,17
Rock,English,9,17
Rock,English,14,10
Experimental,English,2,5
Electronic,English,3,1
Rock,English,0,18
Rock,English,9,5
Instrumental,English,16,3
Electronic,English,0,8
Experimental,English,3,16
Electronic,English,1,15
Electronic,English,17,2
Folk,English,8,12
Hip-Hop,English,8,12
Electronic,English,3,16
Experimental,English,16,1
Folk,English,7,18
Rock,English,9,17
Electronic,English,1,14
Instrumental,English,8,4
Hip-Hop,English,4,9
Instrumental,English,2,7
Rock,English,2,12
Electronic,English,17,2
Electronic,English,13,4
Experimental,English,0,18
Experimental,English,17,11
Rock,English,11,5
Electronic,English,2,5
Experimental,English,17,7
Pop,English,14,10
Experimental,English,17,11
Rock,English,3,4
Experimental,English,14,10
Pop,English,8,2
Pop,English,9,17
Electronic,English,2,2
Pop,English,3,15
Folk,English,13,2
Experimental,English,10,2
Rock,English,3,16
Rock,English,17,11
Folk,English,11,7
Electronic,English,17,2
Classical,English,10,8
Rock,English,9,17
Classical,English,10,8
Rock,English,14,10
Electronic,English,14,10
Electronic,English,4,9
Experimental,English,16,3
Experimental,English,0,18
Hip-Hop,English,4,9
Rock,English,9,17
Rock,English,13,4
Electronic,English,13,4
Jazz,English,10,1
Rock,English,9,17
Electronic,English,0,1
Electronic,English,18,0
Experimental,English,6,2
Rock,English,2,11
Rock,English,17,11
Rock,English,14,10
Electronic,English,4,14
Experimental,English,12,3
Rock,English,9,4
Classical,English,10,8
Experimental,English,16,3
Experimental,English,16,3
Blues,English,7,11
Rock,English,5,5
Experimental,English,17,11
Electronic,English,6,2
Pop,English,9,17
Electronic,English,3,16
Spoken,English,17,2
Electronic,English,14,9
Rock,English,13,4
Experimental,English,7,18
Hip-Hop,English,1,18
Electronic,English,18,15
Rock,English,9,4
Rock,English,15,11
Rock,English,13,4
Experimental,English,7,18
Electronic,English,4,9
Electronic,English,13,15
International,English,1,18
Rock,English,13,4
Electronic,English,0,0
Electronic,English,14,10
Experimental,English,5,5
Instrumental,English,2,8
Folk,English,15,5
Pop,English,11,5
Rock,English,3,16
Rock,English,9,10
Rock,English,7,18
Rock,English,17,2
Rock,English,3,16
Pop,English,12,16
Hip-Hop,English,8,9
Hip-Hop,English,17,11
Experimental,English,9,4
Electronic,English,18,14
Rock,English,4,9
Rock,English,15,11
Rock,English,0,1
Rock,English,3,15
Electronic,English,0,9
Electronic,English,4,9
Hip-Hop,English,8,9
Pop,English,14,10
Rock,English,11,7
Electronic,English,12,16
Experimental,English,4,9
Electronic,English,9,11
Experimental,English,14,2
Rock,English,9,17
Hip-Hop,English,1,12
Experimental,English,12,15
Rock,English,2,5
Experimental,English,14,10
Electronic,English,7,2
Pop,English,9,17
Rock,English,17,7
Experimental,English,16,3
Spoken,English,17,2
Folk,English,17,2
Hip-Hop,English,17,2
Folk,English,16,11
Electronic,English,8,12
Electronic,English,0,1
Experimental,English,9,5
Experimental,English,6,6
Electronic,English,4,1
Rock,English,1,18
Rock,English,11,11
Hip-Hop,English,1,4
Experimental,English,3,16
Rock,English,5,13
Hip-Hop,English,8,12
Rock,English,12,16
Rock,English,2,8
Rock,English,9,18
Rock,English,8,17
Old-Time / Historic,English,5,13
Electronic,English,18,0
Rock,English,1,11
Folk,English,3,15
Electronic,English,16,3
Jazz,English,2,8
Instrumental,English,7,18
Experimental,English,7,18
Old-Time / Historic,English,5,13
Experimental,English,0,18
Pop,English,9,11
Electronic,English,7,18
Rock,English,13,11
Rock,English,4,16
Pop,English,17,11
Pop,English,10,8
International,English,14,10
Rock,English,9,17
Rock,English,9,10
Electronic,English,12,15
Rock,English,1,4
Rock,English,2,5
Experimental,English,2,8
Rock,English,17,11
Pop,English,9,17
Rock,English,14,10
Experimental,English,10,8
Rock,English,13,17
International,English,0,11
Rock,English,9,17
Experimental,English,5,17
Rock,English,18,0
Rock,English,13,11
Rock,English,15,1
Rock,English,3,16
Pop,English,7,18
Rock,English,6,14
Rock,English,13,17
Electronic,English,9,11
Hip-Hop,English,17,11
Rock,English,13,18
Experimental,English,7,7
Folk,English,2,8
Rock,English,8,2
Instrumental,English,10,8
Soul-RnB,English,17,11
Experimental,English,18,0
Rock,English,15,7
Electronic,English,18,15
Hip-Hop,English,1,18
Electronic,English,12,16
International,English,10,0
Folk,English,9,17
Experimental,English,2,0
Rock,English,11,7
Pop,English,8,2
International,English,11,2
Country,English,11,11
Electronic,English,17,11
Rock,English,14,10
Electronic,English,18,6
Experimental,English,4,4
Experimental,English,18,0
Rock,English,0,18
Experimental,English,4,14
Experimental,English,0,18
Electronic,English,8,12
Folk,English,11,7
Rock,English,13,17
International,English,15,7
Hip-Hop,English,14,10
Rock,English,9,17
Electronic,English,4,1
Rock,English,9,4
Hip-Hop,English,6,2
Electronic,English,16,1
Experimental,English,9,17
Pop,English,6,2
Instrumental,English,14,10
Experimental,English,10,8
Jazz,English,10,8
Hip-Hop,English,8,12
Hip-Hop,English,7,18
Electronic,English,18,6
Rock,English,9,17
Folk,English,10,11
Electronic,English,17,11
Electronic,English,1,14
Rock,English,7,18
Rock,English,9,17
Electronic,English,14,10
Rock,English,9,17
Electronic,English,1,9
Rock,English,15,11
Rock,English,13,4
Rock,English,13,17
Rock,English,13,4
Experimental,English,18,0
Electronic,English,11,7
Experimental,English,10,0
Electronic,English,8,12
Rock,English,13,4
Instrumental,English,18,6
Experimental,English,11,5
Rock,English,3,16
Rock,English,3,16
Rock,English,13,17
Experimental,English,7,18
Rock,English,9,17
Experimental,English,3,16
Folk,English,6,2
Experimental,English,14,7
Rock,English,14,10
Jazz,English,10,11
Rock,English,9,17
Electronic,English,4,9
Pop,English,11,5
Instrumental,English,10,0
Rock,English,13,4
Electronic,English,8,16
Electronic,English,1,9
Electronic,English,11,7
Classical,English,18,0
Rock,English,13,4
Experimental,English,10,2
Experimental,English,15,1
Experimental,English,3,4
Experimental,English,4,1
Rock,English,12,15
Rock,English,9,17
Experimental,English,18,0
Electronic,English,7,3
Folk,English,10,0
Experimental,English,0,11
Electronic,English,14,10
Experimental,English,17,11
Rock,English,14,10
Pop,English,17,2
Folk,English,2,8
Rock,English,12,4
Electronic,English,4,18
Jazz,English,1,9
Folk,English,14,10
Rock,English,7,8
Rock,English,13,4
Instrumental,English,5,0
Hip-Hop,English,4,9
Folk,English,11,7
Old-Time / Historic,English,5,13
Rock,English,7,18
Electronic,English,3,15
Folk,English,11,7
Hip-Hop,English,1,14
Rock,English,13,17
Hip-Hop,English,4,9
Classical,English,5,13
Rock,English,9,17
Experimental,English,3,16
Experimental,English,18,6
Experimental,English,18,6
Rock,English,8,17
Pop,English,4,11
International,English,5,8
Experimental,English,17,2
Rock,English,17,11
International,English,17,14
Rock,English,3,16
Pop,English,1,15
Electronic,English,1,9
Rock,English,9,11
Instrumental,English,6,2
Experimental,English,14,10
Folk,English,3,16
Rock,English,9,17
Rock,English,13,17
Rock,English,13,17
Electronic,English,6,14
Rock,English,13,4
Electronic,English,6,14
International,English,0,1
Rock,English,14,10
Rock,English,6,2
Pop,English,10,0
Rock,English,7,18
Experimental,English,17,2
Electronic,English,4,9
Classical,English,17,2
Rock,English,8,4
Rock,English,15,8
Rock,English,4,16
Electronic,English,3,15
Experimental,English,12,15
Electronic,English,8,2
Experimental,English,2,8
Experimental,English,9,17
Electronic,English,15,1
Spoken,English,6,2
Rock,English,15,8
Hip-Hop,English,1,9
Jazz,English,4,11
Experimental,English,12,4
Folk,English,8,12
Experimental,English,9,17
Old-Time / Historic,English,5,13
Folk,English,2,5
Rock,English,14,2
Hip-Hop,English,17,2
Rock,English,13,4
Folk,English,8,12
Rock,English,11,11
Rock,English,13,17
Experimental,English,16,3
Experimental,English,2,3
Experimental,English,14,10
Electronic,English,15,8
Rock,English,9,17
Experimental,English,7,11
Hip-Hop,English,13,9
Rock,English,7,5
Hip-Hop,English,6,14
Classical,English,2,8
Experimental,English,14,10
Rock,English,14,10
Experimental,English,9,17
Hip-Hop,English,1,9
Rock,English,6,14
Pop,English,1,18
Electronic,English,3,16
Soul-RnB,English,12,15
Jazz,English,12,17
Experimental,English,0,3
Rock,English,2,11
Hip-Hop,English,8,9
Experimental,English,17,2
Experimental,English,7,12
Folk,English,14,10
Rock,English,12,4
Folk,English,11,7
Experimental,English,12,9
Electronic,English,0,12
Folk,English,5,13
Instrumental,English,11,7
Rock,English,4,11
Rock,English,7,11
Rock,English,13,17
Jazz,English,5,7
Rock,English,9,4
Rock,English,15,1
Rock,English,13,4
Rock,English,9,17
Electronic,English,17,2
Pop,English,1,9
Jazz,English,10,0
Electronic,English,4,4
Electronic,English,16,1
Pop,English,8,12
Experimental,English,4,9
Rock,English,13,4
Instrumental,English,15,1
Hip-Hop,English,14,10
International,English,6,14
Electronic,English,3,16
Folk,English,9,11
Experimental,English,11,5
Instrumental,English,16,1
Rock,English,11,7
Rock,English,3,4
Rock,English,9,17
Electronic,English,18,14
Pop,English,16,3
Electronic,English,6,15
Electronic,English,6,14
Rock,English,9,4
Electronic,English,3,16
Instrumental,English,3,4
Experimental,English,16,1
Rock,English,13,4
Instrumental,English,10,0
Rock,English,17,11
Instrumental,English,7,18
Experimental,English,15,8
Pop,English,13,11
Experimental,English,9,17
Hip-Hop,English,1,9
Rock,English,2,5
Rock,English,9,17
Instrumental,English,12,15
Electronic,English,3,15
Electronic,English,3,16
Experimental,English,9,17
Spoken,English,12,2
Rock,English,17,2
Experimental,English,9,5
International,English,1,9
Rock,English,14,10
Pop,English,7,5
Electronic,English,14,10
Experimental,English,8,9
Experimental,English,15,5
Experimental,English,4,1
Rock,English,13,4
Experimental,English,16,3
Hip-Hop,English,17,11
Instrumental,English,2,12
Rock,English,13,4
Rock,English,11,11
Experimental,English,12,15
Pop,English,17,2
Experimental,English,18,0
Electronic,English,18,0
Rock,English,3,16
Rock,English,13,4
Electronic,English,8,12
Experimental,English,9,17
Rock,English,3,16
Electronic,English,7,18
Rock,English,13,4
Experimental,English,2,8
Hip-Hop,English,14,10
Electronic,English,8,14
Experimental,English,0,1
Rock,English,12,17
Experimental,English,14,5
Pop,English,11,11
Hip-Hop,English,8,12
Rock,English,8,12
Experimental,English,14,5
Experimental,English,9,5
Electronic,English,8,12
Classical,English,6,0
Instrumental,English,12,15
Electronic,English,17,11
Rock,English,9,17
Electronic,English,4,9
Rock,English,7,4
Electronic,English,4,9
Electronic,English,3,15
Jazz,English,18,0
International,English,14,16
Rock,English,3,4
Rock,English,7,3
Folk,English,2,8
Experimental,English,4,14
Jazz,English,10,11
Experimental,English,7,8
Rock,English,3,17
Electronic,English,8,12
Electronic,English,6,14
Electronic,English,17,11
Hip-Hop,English,8,10
Experimental,English,6,6
Rock,English,13,4
Electronic,English,17,9
Experimental,English,0,3
Rock,English,13,4
Experimental,English,5,5
Rock,English,13,4
Instrumental,English,10,7
Hip-Hop,English,1,9
Hip-Hop,English,4,9
Pop,English,11,5
Rock,English,17,11
Hip-Hop,English,4,9
Rock,English,7,18
Folk,English,11,7
Experimental,English,16,3
Experimental,English,16,3
Rock,English,9,17
Electronic,English,8,12
Experimental,English,2,3
Electronic,English,8,4
Hip-Hop,English,8,12
Electronic,English,9,18
Experimental,English,4,11
Folk,English,17,2
Experimental,English,17,2
Pop,English,1,9
Electronic,English,17,2
Instrumental,English,10,7
Electronic,English,12,12
Rock,English,13,4
Experimental,English,10,0
Instrumental,English,11,7
Electronic,English,1,9
Rock,English,13,4
Country,English,11,11
Hip-Hop,English,16,18
Experimental,English,4,1
Electronic,English,6,2
Experimental,English,10,2
Rock,English,9,16
Classical,English,2,5
Rock,English,15,1
Rock,English,9,17
Rock,English,14,17
Rock,English,13,17
Classical,English,10,8
Electronic,English,8,12
Experimental,English,12,9
Electronic,English,16,1
Electronic,English,4,9
Rock,English,13,11
Experimental,English,9,17
Rock,English,9,17
Experimental,English,3,15
Rock,English,9,17
Hip-Hop,English,4,9
Rock,English,9,17
Electronic,English,18,14
Rock,English,9,17
Experimental,English,14,10
Rock,English,0,3
Electronic,English,4,9
Electronic,English,16,3
Electronic,English,6,14
Pop,English,17,11
Rock,English,9,17
Folk,English,14,10
Hip-Hop,English,8,12
Electronic,English,4,10
Rock,English,15,5
Country,English,13,4
Rock,English,11,7
Folk,English,10,0
Rock,English,15,4
Hip-Hop,English,1,4
Classical,English,10,8
Electronic,English,8,12
Electronic,English,7,18
Experimental,English,16,1
Rock,English,8,4
Experimental,English,9,5
Experimental,English,17,2
Jazz,English,10,0
Folk,English,7,2
Folk,English,4,1
Rock,English,7,11
Rock,English,1,18
Electronic,English,2,7
Rock,English,1,4
Instrumental,English,11,7
Rock,English,17,2
Electronic,English,17,9
Instrumental,English,3,16
International,English,11,11
Electronic,English,7,18
Rock,English,3,16
Experimental,English,17,2
Rock,English,10,2
Experimental,English,9,17
Hip-Hop,English,1,9
Rock,English,14,10
Rock,English,13,4
Rock,English,4,11
Folk,English,11,7
Rock,English,10,18
Experimental,English,4,14
Experimental,English,11,7
Rock,English,13,4
Rock,English,11,7
Electronic,English,4,9
Electronic,English,13,4
Instrumental,English,7,18
Electronic,English,6,14
Rock,English,9,17
Rock,English,13,4
Rock,English,9,17
Pop,English,8,11
Rock,English,17,2
Rock,English,1,4
Pop,English,13,4
Experimental,English,1,15
Rock,English,9,4
Experimental,English,0,18
Folk,English,2,8
Folk,English,2,8
Rock,English,2,11
Electronic,English,12,15
Instrumental,English,4,1
Instrumental,English,10,18
Experimental,English,17,8
Experimental,English,14,10
Folk,English,11,7
Hip-Hop,English,6,2
Experimental,English,17,9
Rock,English,11,4
Electronic,English,7,7
Pop,English,16,3
Experimental,English,17,11
Rock,English,9,17
Rock,English,17,2
Electronic,English,17,11
Rock,English,14,10
Rock,English,16,5
Rock,English,14,5
Experimental,English,3,16
Rock,English,9,17
Electronic,English,17,18
Rock,English,4,11
Electronic,English,4,11
Electronic,English,1,14
Electronic,English,17,11
Pop,English,5,13
Rock,English,9,3
Electronic,English,1,15
Instrumental,English,3,15
Experimental,English,10,11
Electronic,English,0,0
Experimental,English,8,14
Jazz,English,7,12
Rock,English,14,10
Experimental,English,16,1
Electronic,English,13,4
Experimental,English,6,2
Electronic,English,1,9
Electronic,English,16,3
Experimental,English,4,9
Experimental,English,9,5
Rock,English,9,17
Pop,English,1,14
Electronic,English,12,9
Experimental,English,16,1
Rock,English,13,17
Electronic,English,1,9
Electronic,English,4,9
Electronic,English,6,14
Rock,English,2,17
Rock,English,14,10
Rock,English,4,11
Spoken,English,2,8
Folk,English,9,5
Electronic,English,17,2
Rock,English,9,17
Folk,English,11,8
Instrumental,English,0,8
Experimental,English,6,14
Hip-Hop,English,8,12
Rock,English,13,17
International,English,6,14
Instrumental,English,5,11
Rock,English,1,18
Electronic,English,4,11
Rock,English,3,11
Experimental,English,17,11
Instrumental,English,6,2
Experimental,English,5,13
Electronic,English,1,9
Electronic,English,4,9
Electronic,English,0,1
Rock,English,17,11
Electronic,English,3,15
Classical,English,2,5
Rock,English,9,3
Electronic,English,9,12
Electronic,English,17,2
Rock,English,13,4
Instrumental,English,3,16
Hip-Hop,English,1,9
Experimental,English,9,17
Electronic,English,4,1
Experimental,English,7,18
Rock,English,9,17
Rock,English,1,17
Rock,English,8,4
Experimental,English,17,11
Electronic,English,3,15
Hip-Hop,English,6,14
Electronic,English,8,9
Experimental,English,16,1
Rock,English,13,4
Rock,English,9,17
Old-Time / Historic,English,5,8
Pop,English,10,0
Experimental,English,12,15
Electronic,English,3,16
Rock,English,14,10
Spoken,English,15,2
International,English,11,11
Rock,English,3,16
Rock,English,9,17
Experimental,English,5,8
Hip-Hop,English,3,15
Instrumental,English,14,2
Electronic,English,12,16
Rock,English,1,9
Folk,English,4,9
Electronic,English,8,9
Rock,English,15,5
Electronic,English,10,0
Rock,English,4,9
Experimental,English,17,2
Electronic,English,8,9
Pop,English,3,4
Rock,English,14,10
Rock,English,9,4
Electronic,English,1,14
Hip-Hop,English,3,4
Instrumental,English,7,7
Experimental,English,4,1
Rock,English,7,18
Rock,English,9,5
Rock,English,9,17
Experimental,English,17,11
Pop,English,10,0
Pop,English,10,2
Rock,English,14,10
Hip-Hop,English,4,1
Experimental,English,8,10
Classical,English,10,8
Old-Time / Historic,English,5,13
Experimental,English,11,8
Rock,English,0,3
Hip-Hop,English,8,12
Folk,English,2,5
Pop,English,5,5
Rock,English,13,4
Experimental,English,16,3
International,English,1,9
Pop,English,17,11
Rock,English,13,4
Folk,English,7,5
Rock,English,9,4
Electronic,English,7,18
Rock,English,15,5
Rock,English,9,17
Experimental,English,10,18
Electronic,English,4,14
International,English,1,4
Electronic,English,1,2
International,English,8,16
International,English,17,2
Electronic,English,1,9
Instrumental,English,7,12
Rock,English,7,18
Experimental,English,10,5
